created_at,content,interactions,source,sentiment,probas
"Apr 3, 2024 @ 13:30:05.000","Clara Brugada, candidata a la Jefatura de Gobierno por la coalición Sigamos Haciendo Historia, advierte de intento de judicializar la elección por parte de Santiago Taboada 
👉 https://tinyurl.com/24h6hswx","1,636",https://www.facebook.com/ElUniversalOnline/posts/pfbid0aGCjUMJ8BTMxy8KzXPehKVVuGAnAceTZejw9K1fzyodbZtu7jNCjCWcoi5hKQMnWl,NEG,"{'NEG': 0.49089986085891724, 'NEU': 0.4667383134365082, 'POS': 0.042361781001091}"
"Apr 3, 2024 @ 13:30:05.000","Clara Brugada, candidata a la Jefatura de Gobierno por la coalición Sigamos Haciendo Historia, advierte de intento de judicializar la elección por parte de Santiago Taboada 
👉 https://tinyurl.com/24h6hswx","1,189",https://www.facebook.com/ElUniversalOnline/posts/pfbid0aGCjUMJ8BTMxy8KzXPehKVVuGAnAceTZejw9K1fzyodbZtu7jNCjCWcoi5hKQMnWl,NEG,"{'NEG': 0.49089986085891724, 'NEU': 0.4667383134365082, 'POS': 0.042361781001091}"
"Apr 3, 2024 @ 15:17:51.000","📹 #Vídeo | La hipocresía de la derecha: @ClaraBrugadaM calificó como un hecho “muy grave” que @STaboadaMx y ante la desesperación se haya reunido con el Sindicato Libertad.

“Es muy grave ese encuentro, alianza y trabajo conjunto entre el Sindicato Libertad y el candidato… https://t.co/Hj9iVRgGDq",285,https://twitter.com/ReporterosMX_/status/1775633839051665479,NEG,"{'NEG': 0.9554498791694641, 'NEU': 0.04080028831958771, 'POS': 0.003749907948076725}"
"Apr 3, 2024 @ 13:39:01.000","""Ya se van"", el candidato de la alianza PAN-PRI-PRD a la Jefatura de Gobierno de la Ciudad de México, Santiago Taboada, se lanzó contra Morena y aseguró que el pueblo ya no les cree y se les acabó el tiempo.

",164,https://www.facebook.com/PoliticoMX/posts/pfbid032YStNXbLAQZXiLhf92npYnUiyutkxW1DPfQ3y7hBxLSVzc1fqCmJupakNP2YTAmbl,NEG,"{'NEG': 0.9635469317436218, 'NEU': 0.030034760013222694, 'POS': 0.006418269127607346}"
"Apr 3, 2024 @ 16:30:04.000","""Próxima estación, Estadio Azteca"": el candidato Santiago Taboada quiere extender la Línea 2 del Metro, con miras hacia el Mundial 2026",133,https://www.facebook.com/ElFinancieroMx/posts/pfbid02or3VZB481KmJAMuQC1BViEW1hesD1ydR6pr8JjUWvKnoKC9ghvgkM1R1oHcnUVkRl,NEU,"{'NEG': 0.16031414270401, 'NEU': 0.6896250247955322, 'POS': 0.15006084740161896}"
"Apr 3, 2024 @ 16:30:04.000","""Próxima estación, Estadio Azteca"": el candidato Santiago Taboada quiere extender la Línea 2 del Metro, con miras hacia el Mundial 2026",131,https://www.facebook.com/ElFinancieroMx/posts/pfbid02or3VZB481KmJAMuQC1BViEW1hesD1ydR6pr8JjUWvKnoKC9ghvgkM1R1oHcnUVkRl,NEU,"{'NEG': 0.16031414270401, 'NEU': 0.6896250247955322, 'POS': 0.15006084740161896}"
"Apr 3, 2024 @ 09:00:45.000","“Layda Sansores me entregó la alcaldía hecha un desastre”: Lía Limón

La candidata del PRI, PAN y PRD, a la Alcaldía Álvaro Obregón, recordó la crisis de seguridad que se vive en Campeche y culpó a la gobernadora; afirma que ""no tiene cola que le pisen"" por eso denunció la intervención de Martí Batres en la elección por la jefatura de gobierno de la CDMX, en donde aseguró que Santiago Taboada ganará.

📌 No te pierdas la entrevista completa con Juan Pablo de Leo en ▶️  
https://youtu.be/pZEpwdOrBDE",107,https://www.facebook.com/PoliticoMX/posts/pfbid02PMDhqEK85X7J97ujyWy1wjZg1SfSsvCfG3ZT6mBBEsjuBpyuDJbdk9nBHYL75vNcl,NEG,"{'NEG': 0.8830105066299438, 'NEU': 0.1059022843837738, 'POS': 0.011087140999734402}"
"Apr 3, 2024 @ 20:55:10.000","Hoy caminé de la mano de quien nació, conoce y ama Xochimilco: Gabriel del Monte, quien junto con @STaboadaMx ¡Vamos a cambiar Xochimilco y la CDMX! 

Gracias por abrirnos la puerta y gracias por quererse sumar a este GRAN PROYECTO. 

Este 2 de junio ¡ábrele la puerta AL CAMBIO! https://t.co/uScTXPUKGA",101,https://twitter.com/DanyAlvarezca/status/1775718725829771350,POS,"{'NEG': 0.008441112004220486, 'NEU': 0.05114792287349701, 'POS': 0.9404109716415405}"
"Apr 3, 2024 @ 10:10:45.000","Justo por esto es que el @GobCDMX quiere intervenir ILEGALMENTE en la elección: tenemos tendencias.

1️⃣La candidata oficial van en caída
2️⃣@STaboadaMx va creciendo

Por favor aparta el 2 de junio. No le fallemos a la CDMX.

#YaSeVan
#SiHayDeOtra 
#VotaPAN
#ElCambioViene https://t.co/SFY3r73nH1",80,https://twitter.com/AAtaydeR/status/1775556553543737506,NEG,"{'NEG': 0.8455356955528259, 'NEU': 0.14411550760269165, 'POS': 0.010348773561418056}"
"Apr 3, 2024 @ 17:07:09.000","Oigan @SacMexCDMX @STaboadaMx @martibatres @BJAlcaldia  está pasando @En_laDelValle que el agua de la llave huele a gasolina? ¿Qué hacemos para no intoxicarnos? El mundo del revés, falta agua en la #CDMX y ahora está contaminada quien sabe porqué.... y claro... las autoridades… https://t.co/5824YhOXsH",76,https://twitter.com/soyloshe_/status/1775661343603056917,NEG,"{'NEG': 0.9692506194114685, 'NEU': 0.027949964627623558, 'POS': 0.002799359383061528}"
